Vacation year,2021
Employee,Total vacation days
user1@rbt.rs,20
user2@rbt.rs,23
user3@rbt.rs,20
user4@rbt.rs,20
user5@rbt.rs,20
user6@rbt.rs,20
user7@rbt.rs,6
user8@rbt.rs,23
user9@rbt.rs,20
user10@rbt.rs,20
user11@rbt.rs,20
user12@rbt.rs,17
user13@rbt.rs,20
user14@rbt.rs,3
user15@rbt.rs,20
user16@rbt.rs,20
user17@rbt.rs,20
user18@rbt.rs,20
user19@rbt.rs,17
user20@rbt.rs,20
user21@rbt.rs,20
user22@rbt.rs,23
user23@rbt.rs,15
user24@rbt.rs,20
user25@rbt.rs,20
user26@rbt.rs,20
user27@rbt.rs,20
user28@rbt.rs,6
user29@rbt.rs,20
user30@rbt.rs,2
user31@rbt.rs,20
user32@rbt.rs,23
user33@rbt.rs,23
user34@rbt.rs,21
user35@rbt.rs,23
user36@rbt.rs,20
user37@rbt.rs,10
user38@rbt.rs,23
user39@rbt.rs,17
user40@rbt.rs,20
user41@rbt.rs,18
user42@rbt.rs,10
user43@rbt.rs,13
user44@rbt.rs,12
user45@rbt.rs,9
user46@rbt.rs,6
user47@rbt.rs,6
user48@rbt.rs,4
user49@rbt.rs,2
user50@rbt.rs,2
