Vacation year,2020
Employee,Total vacation days
user1@rbt.rs,20
user2@rbt.rs,20
user3@rbt.rs,20
user4@rbt.rs,20
user5@rbt.rs,20
user51@rbt.rs,21
user6@rbt.rs,20
user7@rbt.rs,23
user8@rbt.rs,20
user9@rbt.rs,20
user10@rbt.rs,22
user52@rbt.rs,3
user53@rbt.rs,15
user54@rbt.rs,10
user11@rbt.rs,20
user12@rbt.rs,20
user13@rbt.rs,20
user14@rbt.rs,23
user15@rbt.rs,22
user16@rbt.rs,22
user17@rbt.rs,20
user18@rbt.rs,20
user19@rbt.rs,20
user20@rbt.rs,20
user21@rbt.rs,0
user22@rbt.rs,20
user55@rbt.rs,23
user23@rbt.rs,12
user24@rbt.rs,20
user25@rbt.rs,20
user56@rbt.rs,19
user26@rbt.rs,20
user57@rbt.rs,10
user27@rbt.rs,20
user28@rbt.rs,25
user29@rbt.rs,24
user30@rbt.rs,20
user58@rbt.rs,14
user59@rbt.rs,2
user31@rbt.rs,20
user60@rbt.rs,10
user32@rbt.rs,20
user61@rbt.rs,8
user62@rbt.rs,15
user33@rbt.rs,20
user34@rbt.rs,20
user35@rbt.rs,20
user36@rbt.rs,20
user37@rbt.rs,20
user38@rbt.rs,8
user39@rbt.rs,3
user40@rbt.rs,3
user41@rbt.rs,3
