Vacation year,2019
Employee,Total vacation days
user1@rbt.rs,20
user2@rbt.rs,20
user3@rbt.rs,20
user4@rbt.rs,20
user5@rbt.rs,20
user51@rbt.rs,20
user6@rbt.rs,20
user7@rbt.rs,20
user8@rbt.rs,20
user9@rbt.rs,20
user10@rbt.rs,20
user52@rbt.rs,20
user53@rbt.rs,20
user54@rbt.rs,20
user11@rbt.rs,20
user12@rbt.rs,20
user13@rbt.rs,20
user14@rbt.rs,15
user15@rbt.rs,20
user16@rbt.rs,20
user17@rbt.rs,5
user18@rbt.rs,11
user19@rbt.rs,20
user20@rbt.rs,5
user21@rbt.rs,20
user22@rbt.rs,20
user63@rbt.rs,10
user55@rbt.rs,20
user23@rbt.rs,20
user64@rbt.rs,13
user24@rbt.rs,20
user25@rbt.rs,20
user65@rbt.rs,13
user56@rbt.rs,21
user26@rbt.rs,20
user57@rbt.rs,17
user27@rbt.rs,7
user28@rbt.rs,20
user66@rbt.rs,5
user29@rbt.rs,20
user67@rbt.rs,2
user30@rbt.rs,20
user58@rbt.rs,20
user59@rbt.rs,20
user31@rbt.rs,20
user68@rbt.rs,13
user60@rbt.rs,20
user32@rbt.rs,20
user61@rbt.rs,20
user62@rbt.rs,17
user33@rbt.rs,20
user69@rbt.rs,5
user34@rbt.rs,20
user35@rbt.rs,10
user36@rbt.rs,7
user37@rbt.rs,20
